CGG,20090212,0.135,0.135,0.125,0.13,681950
CGO,20090212,0.29,0.29,0.29,0.29,70360
CGT,20090212,0.038,0.038,0.038,0.038,131578
CGX,20090212,1.8,1.92,1.8,1.92,4592
CHB,20090212,19.05,21,18.05,18.07,1374
CHC,20090212,0.2,0.21,0.2,0.21,3587131
CHM,20090212,0.006,0.008,0.006,0.008,1383000
CHN,20090212,0.09,0.09,0.09,0.09,21000
CHO,20090212,4.15,4.15,4.1,4.15,3741
CHP,20090212,0.02,0.02,0.02,0.02,50000
CIF,20090212,1.92,1.94,1.865,1.94,229261
CIG,20090212,0.015,0.015,0.015,0.015,58799
CIN,20090212,13.1,13.1,13.1,13.1,3862
CIX,20090212,0.31,0.31,0.31,0.31,2650
CIY,20090212,0.076,0.078,0.076,0.078,30805
CKL,20090212,0.42,0.42,0.41,0.41,11000
CKT,20090212,0.265,0.28,0.265,0.28,108500
CLD,20090212,0.012,0.012,0.012,0.012,50000
CLH,20090212,0.45,0.45,0.45,0.45,45500
CLO,20090212,0.315,0.315,0.31,0.31,37372
CLT,20090212,0.2,0.2,0.2,0.2,27200
CLV,20090212,0.185,0.185,0.175,0.175,72000
CMG,20090212,0.105,0.105,0.095,0.095,66177
CMJ,20090212,1.78,1.865,1.77,1.865,468385
CMO,20090212,0.025,0.025,0.025,0.025,205000
CMV,20090212,0.125,0.13,0.125,0.13,185000
CMW,20090212,0.42,0.425,0.405,0.41,279125
CNA,20090212,79.5,79.5,79,79,157
CND,20090212,0.35,0.37,0.345,0.37,77745
CNF,20090212,0.044,0.05,0.044,0.05,110000
CNK,20090212,0.09,0.09,0.09,0.09,5000
CNM,20090212,0.15,0.17,0.15,0.165,1025732
CNP,20090212,0.082,0.086,0.082,0.083,1250590
CNT,20090212,1.12,1.14,1.085,1.12,51100
CNX,20090212,0.265,0.29,0.265,0.285,1634802
COE,20090212,0.28,0.29,0.28,0.29,729133
COF,20090212,1.485,1.495,1.48,1.495,131191
COH,20090212,53.21,53.55,52.01,52.7,673354
COI,20090212,0.165,0.19,0.165,0.19,1227800
COJ,20090212,0.005,0.005,0.005,0.005,625000
COK,20090212,0.29,0.3,0.29,0.29,93965
COM,20090212,0.071,0.071,0.071,0.071,6500
COS,20090212,0.075,0.076,0.075,0.076,19800
COU,20090212,0.85,0.85,0.81,0.82,89165
COZ,20090212,0.19,0.19,0.19,0.19,1500
CPA,20090212,0.8,0.83,0.795,0.815,9264656
CPB,20090212,12.75,13.1,12.75,13,27595
CPK,20090212,0.017,0.017,0.017,0.017,15300
CPR,20090212,0.079,0.079,0.076,0.076,263350
CPU,20090212,7.31,7.69,7.3,7.53,3200242
CQT,20090212,0.205,0.22,0.205,0.215,739322
CQU,20090212,0.038,0.04,0.038,0.04,50334
CRC,20090212,0.135,0.145,0.12,0.145,55000
CRE,20090212,0.11,0.11,0.11,0.11,60000
CRG,20090212,7.45,7.84,7.43,7.59,97905
CRJ,20090212,0.031,0.04,0.03,0.04,143522
CRK,20090212,0.71,0.71,0.705,0.705,74000
CRS,20090212,0.01,0.01,0.01,0.01,33387
CRT,20090212,0.295,0.295,0.285,0.285,36034
CSE,20090212,0.062,0.062,0.062,0.062,15600
CSJ,20090212,0.97,0.97,0.97,0.97,500000
CSL,20090212,35.75,36.63,35.42,35.47,1523097
CSR,20090212,1.42,1.485,1.4,1.48,3656295
CSS,20090212,0.41,0.43,0.4,0.4,88750
CST,20090212,1.85,1.94,1.8,1.94,37694
CSU,20090212,0.96,0.96,0.96,0.96,60000
CSV,20090212,0.48,0.48,0.48,0.48,10000
CSW,20090212,0.985,0.985,0.985,0.985,20000
CTN,20090212,0.605,0.615,0.605,0.615,75030
CTO,20090212,0.24,0.25,0.22,0.23,7277714
CTP,20090212,0.083,0.085,0.081,0.082,296000
CTX,20090212,9.18,9.49,9.18,9.42,624618
CUE,20090212,0.11,0.11,0.1,0.11,1863273
CUL,20090212,0.033,0.033,0.033,0.033,125667
CUR,20090212,0.2,0.21,0.2,0.21,30000
CUS,20090212,1.25,1.39,1.25,1.35,38827
CUV,20090212,0.225,0.225,0.22,0.22,106027
CUX,20090212,0.052,0.052,0.05,0.05,137639
CVA,20090212,0.025,0.025,0.025,0.025,200000
CVC,20090212,0.4,0.4,0.4,0.4,5000
CVI,20090212,0.013,0.013,0.013,0.013,2979539
CVN,20090212,0.29,0.295,0.285,0.295,2332159
CVS,20090212,0.03,0.03,0.024,0.024,400000
CWK,20090212,0.125,0.125,0.125,0.125,20000
CWN,20090212,5.29,5.49,5.23,5.36,1487313
CWP,20090212,0.9,0.9,0.9,0.9,62177
CWT,20090212,0.3,0.3,0.28,0.28,363924
CXC,20090212,1.1,1.15,1.1,1.135,157907
CXH,20090212,0.03,0.04,0.03,0.04,365000
CXM,20090212,0.16,0.16,0.155,0.155,33000
CXP,20090212,3.38,3.61,3.37,3.41,124007
CXS,20090212,0.34,0.34,0.33,0.34,50000
CXY,20090212,0.055,0.058,0.055,0.058,240572
CYA,20090212,0.68,0.7,0.665,0.7,189518
CYT,20090212,0.1,0.1,0.1,0.1,10000
CYU,20090212,0.08,0.08,0.08,0.08,8000
CZA,20090212,0.86,0.86,0.82,0.82,30360
DEG,20090212,0.028,0.028,0.028,0.028,8500
DEX,20090212,0.45,0.45,0.435,0.435,5900
DGO,20090212,0.045,0.05,0.045,0.05,61500
DIO,20090212,0.385,0.44,0.385,0.415,459432
DJS,20090212,2.2,2.36,2.2,2.3,1586076
DJW,20090212,3.22,3.3,3.19,3.3,48687
DLS,20090212,0.023,0.024,0.023,0.024,300000
DMG,20090212,0.115,0.115,0.115,0.115,87700
DML,20090212,0.145,0.145,0.145,0.145,4000
DMM,20090212,0.07,0.09,0.07,0.09,21000
DMP,20090212,3.06,3.1,3.06,3.1,112400
DOM,20090212,4.3,4.43,4.3,4.35,451301
DOW,20090212,3.39,3.58,3.39,3.51,600841
DRA,20090212,0.06,0.064,0.06,0.064,708798
DRX,20090212,0.125,0.125,0.125,0.125,16700
DTL,20090212,4.85,4.85,4.8,4.8,1686
DUE,20090212,2.21,2.24,2.18,2.2,3970842
DUI,20090212,2.35,2.35,2.32,2.32,10175
DUL,20090212,0.02,0.02,0.02,0.02,2500000
DVM,20090212,0.025,0.025,0.025,0.025,14286
DVN,20090212,0.47,0.475,0.46,0.475,86529
DWS,20090212,0.52,0.52,0.515,0.515,9912
DXS,20090212,0.83,0.86,0.795,0.86,14446898
DYE,20090212,0.77,0.89,0.77,0.89,226100
DYL,20090212,0.135,0.14,0.135,0.135,197692
ECQ,20090212,0.08,0.08,0.08,0.08,100000
ECU,20090212,0.16,0.16,0.16,0.16,15000
EDM,20090212,0.006,0.006,0.006,0.006,280000
EER,20090212,0.17,0.17,0.17,0.17,17000
EFE,20090212,0.07,0.07,0.07,0.07,20000
EFG,20090212,0.065,0.065,0.065,0.065,3667
EGL,20090212,0.054,0.054,0.053,0.054,447857
EGO,20090212,0.007,0.008,0.007,0.007,40051776
EHL,20090212,0.32,0.325,0.255,0.255,7007310
ELK,20090212,0.135,0.135,0.135,0.135,21736
ELM,20090212,0.08,0.08,0.08,0.08,70400
ELY,20090212,0.105,0.105,0.105,0.105,4550
EMA,20090212,0.19,0.19,0.19,0.19,50000
EMR,20090212,0.045,0.045,0.042,0.042,70170
EMS,20090212,0.08,0.08,0.08,0.08,6000
ENB,20090212,0.1,0.1,0.1,0.1,70000
ENE,20090212,1.73,1.8,1.73,1.76,112111
ENV,20090212,0.305,0.315,0.3,0.315,1699209
EPG,20090212,0.22,0.22,0.22,0.22,49291
EPL,20090212,0.165,0.165,0.165,0.165,24875
EPR,20090212,0.004,0.004,0.004,0.004,420000
