Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
ASX:CRYP,"BetaShares Crypto Innovators ETF (ASX:CRYP)",https://www.listcorp.com/asx/cryp/betashares-crypto-innovators-etf,"	139192000",4.08,-1.00,-19.69,Unclassified
ASX:STA,"Strandline Resources Limited (ASX:STA)",https://www.listcorp.com/asx/sta/strandline-resources-limited,"	138944000",0.095,0.00,0,Materials
ASX:CCV,"Cash Converters International Limited (ASX:CCV)",https://www.listcorp.com/asx/ccv/cash-converters-international-limited,"	138060000",0.205,-0.02,-6.82,Financials
ASX:AVL,"Australian Vanadium Limited (ASX:AVL)",https://www.listcorp.com/asx/avl/australian-vanadium-limited,"	137870000",0.015,-0.00,-6.25,Materials
ASX:TGP,"360 Capital Group (ASX:TGP)",https://www.listcorp.com/asx/tgp/360-capital-group,"	137302000",0.585,-0.02,-2.5,Financials
ASX:4DS,"4DS Memory Limited (ASX:4DS)",https://www.listcorp.com/asx/4ds/4ds-memory-limited,"	135784000",0.074,-0.00,-3.9,"Information Technology"
ASX:ENN,"Elanor Investors Group (ASX:ENN)",https://www.listcorp.com/asx/enn/elanor-investors,"	135460000",0.89,0.00,0,"Consumer Discretionary"
ASX:ZER,"Zeta Resources Limited (ASX:ZER)",https://www.listcorp.com/asx/zer/zeta-resources-limited,"	135252000",0.255,0.00,0,Materials
ASX:CLX,"CTI Logistics Limited (ASX:CLX)",https://www.listcorp.com/asx/clx/cti-logistics-limited,"	135194000",1.66,-0.03,-1.78,Industrials
ASX:MMKT,"Betashares Australian Cash Plus Fund (managed fund) (ASX:MMKT)",https://www.listcorp.com/asx/mmkt/betashares-australian-cash-plus-fund-managed-fund,"	134116000",50.06,0.02,0.04,Unclassified
ASX:HCH,"Hot Chili Limited (ASX:HCH)",https://www.listcorp.com/asx/hch/hot-chili-limited,"	133184000",0.795,-0.09,-9.66,Materials
ASX:DRX,"Diatreme Resources Limited (ASX:DRX)",https://www.listcorp.com/asx/drx/diatreme-resources-limited,"	131967000",0.026,-0.00,-3.7,Materials
ASX:HFR,"Highfield Resources Limited (ASX:HFR)",https://www.listcorp.com/asx/hfr/highfield-resources,"	131382000",0.32,-0.02,-4.48,Materials
ASX:VVA,"Viva Leisure Limited (ASX:VVA)",https://www.listcorp.com/asx/vva/viva-leisure-limited,"	131278000",1.35,0.05,3.85,"Consumer Discretionary"
ASX:LCY,"Legacy Iron Ore Limited (ASX:LCY)",https://www.listcorp.com/asx/lcy/legacy-iron-ore-limited,"	131130000",0.017,0.00,0,Materials
ASX:EGL,"The Environmental Group Limited (ASX:EGL)",https://www.listcorp.com/asx/egl/environmental-group-limited,"	130703000",0.3425,-0.01,-2.14,Industrials
ASX:X64,"Ten Sixty Four Limited (ASX:X64)",https://www.listcorp.com/asx/x64/ten-sixty-four-limited,"	130184000",0.57,0.00,0,Materials
ASX:HJPN,"BetaShares Japan ETF - Currency Hedged (ASX:HJPN)",https://www.listcorp.com/asx/hjpn/betashares-japan-etf-currency-hedged,"	129401000",16,-2.41,-13.09,Unclassified
ASX:NZK,"New Zealand King Salmon Investments (ASX:NZK)",https://www.listcorp.com/asx/nzk/new-zealand-king-salmon-investments,"	129164000",0.24,0.00,0,"Consumer Staples"
ASX:ASN,"Anson Resources Limited (ASX:ASN)",https://www.listcorp.com/asx/asn/anson-resources-limited,"	129053000",0.094,-0.01,-6,Materials
ASX:SEC,"Spheria Emerging Companies Limited (ASX:SEC)",https://www.listcorp.com/asx/sec/spheria-emerging-companies-limited,"	128562000",2.11,-0.04,-1.86,Financials
ASX:IKO,"iShares MSCI South Korea Capped ETF (ASX:IKO)",https://www.listcorp.com/asx/iko/ishares-msci-south-korea-capped-etf,"	128392000",91.1,-7.90,-7.98,Unclassified
ASX:ESTX,"Global X EURO STOXX 50 ETF (ASX:ESTX)",https://www.listcorp.com/asx/estx/global-x-euro-stoxx-50-etf,"	128352000",84.7,-1.13,-1.32,Unclassified
ASX:HGO,"Hillgrove Resources Limited (ASX:HGO)",https://www.listcorp.com/asx/hgo/hillgrove-resources-limited,"	127829000",0.056,-0.01,-8.2,Materials
ASX:CCR,"Credit Clear Limited (ASX:CCR)",https://www.listcorp.com/asx/ccr/credit-clear-limited,"	127473000",0.29,-0.02,-4.92,"Information Technology"
ASX:MCA,"Murray Cod Australia Limited (ASX:MCA)",https://www.listcorp.com/asx/mca/murray-cod-australia-limited,"	126899000",0.115,-0.01,-4.17,"Consumer Staples"
ASX:VLS,"Vita Life Sciences (ASX:VLS)",https://www.listcorp.com/asx/vls/vita-life-sciences,"	126898000",2.24,-0.01,-0.44,"Health Care"
ASX:LIN,"Lindian Resources Limited (ASX:LIN)",https://www.listcorp.com/asx/lin/lindian-resources-limited,"	126821000",0.105,-0.01,-4.55,Materials
ASX:IVZ,"Invictus Energy Limited (ASX:IVZ)",https://www.listcorp.com/asx/ivz/invictus-energy-limited,"	126778000",0.079,-0.01,-10.23,Energy
ASX:TPC,"TPC Consolidated Limited (ASX:TPC)",https://www.listcorp.com/asx/tpc/tpc-consolidated-limited,"	126246000",11.13,0.00,0,Utilities
ASX:PLT,"Plenti Group Limited (ASX:PLT)",https://www.listcorp.com/asx/plt/plenti-group-limited,"	126231000",0.73,0.01,1.39,Financials
ASX:SFX,"Sheffield Resources Limited (ASX:SFX)",https://www.listcorp.com/asx/sfx/sheffield-resources,"	125814000",0.29,-0.03,-9.38,Materials
ASX:OOO,"BetaShares Crude Oil Index ETF-Currency Hedged Synthetic (ASX:OOO)",https://www.listcorp.com/asx/ooo/betashares-crude-oil-index-etf-currency-hedged-synthetic,"	124975000",5.39,-0.28,-4.94,Unclassified
ASX:TOP,"Thorney Opportunities Limited (ASX:TOP)",https://www.listcorp.com/asx/top/thorney-opportunities-limited,"	124856000",0.645,-0.04,-5.84,"Real Estate"
ASX:SHJ,"Shine Justice Ltd (ASX:SHJ)",https://www.listcorp.com/asx/shj/shine-justice-ltd,"	124749000",0.7,-0.02,-2.78,"Consumer Discretionary"
ASX:ART,"Airtasker Limited (ASX:ART)",https://www.listcorp.com/asx/art/airtasker-limited,"	124437000",0.255,-0.02,-7.27,"Communication Services"
ASX:KOV,"Korvest Ltd (ASX:KOV)",https://www.listcorp.com/asx/kov/korvest,"	124132000",10.5,-0.07,-0.66,Industrials
ASX:NOL,"NobleOak Life Limited (ASX:NOL)",https://www.listcorp.com/asx/nol/nobleoak-life-limited,"	123963000",1.405,-0.03,-2.09,Financials
ASX:ARR,"American Rare Earths Limited (ASX:ARR)",https://www.listcorp.com/asx/arr/american-rare-earths-limited,"	123606000",0.245,-0.01,-2,Materials
ASX:WOT,"WOTSO Property (ASX:WOT)",https://www.listcorp.com/asx/wot/wotso-property,"	123254000",0.76,0.00,0,"Real Estate"
ASX:SLH,"Silk Logistics Holdings Limited (ASX:SLH)",https://www.listcorp.com/asx/slh/silk-logistics-holdings-limited,"	122321000",1.45,-0.05,-3.33,Industrials
ASX:NWF,"Newfield Resources Limited (ASX:NWF)",https://www.listcorp.com/asx/nwf/newfield-resources-limited,"	122291000",0.13,0.00,0,Materials
ASX:TRS,"The Reject Shop Limited (ASX:TRS)",https://www.listcorp.com/asx/trs/the-reject-shop-limited,"	121273000",3.14,-0.11,-3.38,"Consumer Discretionary"
ASX:BBT,"BlueBet Holdings Limited (ASX:BBT)",https://www.listcorp.com/asx/bbt/bluebet-holdings-limited,"	120773000",0.205,-0.01,-4.65,"Consumer Discretionary"
ASX:DRA,"DRA Global Limited (ASX:DRA)",https://www.listcorp.com/asx/dra/dra-global-limited,"	120306000",2.17,0.00,0,Industrials
ASX:EMKT,"VanEck MSCI Multifactor Emerging Markets Equity ETF (ASX:EMKT)",https://www.listcorp.com/asx/emkt/vaneck-msci-multifactor-emerging-markets-equity-etf,"	120280000",23.51,-0.99,-4.04,Unclassified
ASX:JYC,"Joyce Corporation Ltd (ASX:JYC)",https://www.listcorp.com/asx/jyc/joyce-corporation,"	120051000",3.98,-0.09,-2.21,"Consumer Discretionary"
ASX:EXR,"Elixir Energy Limited (ASX:EXR)",https://www.listcorp.com/asx/exr/elixir-energy-limited,"	119648000",0.097,-0.00,-3,Energy
