ASX Listed Companies (1 May 2020),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
AT1,Atomo Diagnostics Ltd,,"194,290,000",0.01,,,
ATC,Altech Chemicals Ltd,Materials,"38,628,500",0.002,,,
ATEC,Betashares S&P/ASX Australian Technology ETF,,"6,435,000",0,,,
ATH,Alterity Therapeutics Ltd,Health Care,"17,988,300",0.001,,,
ATL,Apollo Tourism & Leisure Ltd,Consumer Discretionary,"50,260,700",0.003,,,
ATM,Aneka Tambang (Persero) TBK (PT),Materials,"1,303,650",0,,,
ATP,Atlas Pearls Ltd,Consumer Discretionary,"2,567,230",0,,,
ATR,Astron Corporation Ltd,Materials,"21,433,500",0.001,,,
ATS,Australis Oil & Gas Ltd,Energy,"26,621,000",0.001,,,
ATU,Atrum Coal Ltd,Materials,"109,976,000",0.006,,,
ATX,Amplia Therapeutics Ltd,Health Care,"5,317,060",0,,,
AU1,The Agency Group Australia Ltd,Real Estate,"11,958,200",0.001,,,
AU8,Aumake International Ltd,Consumer Discretionary,"16,638,100",0.001,,,
AUB,AUB Group Ltd,Financials,"861,465,000",0.045,,,
AUC,Ausgold Ltd,Materials,"15,486,800",0.001,,,
AUDS,Betashares Strong Australian Dollar Fund (Hedge Fund),,"17,537,000",0.001,,,
AUH,Austchina Holdings Ltd,Energy,"3,107,160",0,,,
AUI,Australian United Investment Company Ltd,,"950,840,000",0.049,,,
AUL,Austar Gold Ltd,Materials,"8,984,460",0,,,
AUMF,Ishares Edge MSCI Australia Multifactor ETF,,"15,069,800",0.001,,,
AUP,Aurora Property Buy-Write Income Trust,,"6,058,230",0,,,
AUQ,Alara Resources Ltd,Materials,"7,548,210",0,,,
AUR,Auris Minerals Ltd,Materials,"8,582,310",0,,,
AUST,Betashares Managed Risk Australian Share Fund,,"44,081,100",0.002,,,
AUT,Auteco Minerals Ltd,Materials,"64,339,100",0.003,,,
AUZ,Australian Mines Ltd,Materials,"32,633,900",0.002,,,
AV1,Adveritas Ltd,Information Technology,"21,454,200",0.001,,,
AVA,AVA Risk Group Ltd,Information Technology,"31,605,600",0.002,,,
AVC,Auctus Alternative Investments Ltd,Financials,"8,868,280",0,,,
AVE,Avecho Biotechnology Ltd,Health Care,"11,182,200",0.001,,,
AVG,Australian Vintage Ltd,Consumer Staples,"116,494,000",0.006,,,
AVH,Avita Medical Ltd,Health Care,"992,047,000",0.052,,,
AVJ,Avjennings Ltd,Real Estate,"160,461,000",0.008,,,
AVL,Australian Vanadium Ltd,Materials,"23,051,900",0.001,,,
AVN,Aventus Group,Real Estate,"952,671,000",0.05,,,
AVQ,Axiom Mining Ltd,Materials,"13,480,000",0.001,,,
AVW,Avira Resources Ltd,Materials,"1,125,000",0,,,
AVZ,AVZ Minerals Ltd,Materials,"141,671,000",0.007,,,
AWC,Alumina Ltd,Materials,"4,996,530,000",0.26,,,
AWN,Arowana International Ltd,Industrials,"8,699,390",0,,,
AWV,Anova Metals Ltd,Materials,"5,513,060",0,,,
