ASX Listed Companies (1 October 2019),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
AU8,Aumake Int Limited,Consumer Discretionary,"30,942,000",1,,,
AUB,AUB Group Limited,Financials,"858,512,000",38,,,
AUC,Ausgold Limited,Materials,"15,843,000",1,,,
AUDS,Beta Strong AUD Trading Managed Units FP,,"3,276,000",0,,,
AUH,Austchina Holdings,Energy,"9,747,440",0,,,
AUI,Australian United in,,"1,157,700,000",51,,,
AUL,Austar Gold Limited,Materials,"10,170,900",0,,,
AUMF,Ishares Edge Au MF ETF Units FP,,"15,899,000",1,,,
AUP,Aurora Property Ordinary Units FP,,"5,288,290",0,,,
AUQ,Alara Resources Limited,Materials,"11,322,300",0,,,
AUR,Auris Minerals Limited,Materials,"5,312,860",0,,,
AUST,Beta Managed Risk Au Trading Managed Fund Units FP,,"46,958,500",2,,,
AUT,Auteco Minerals,Materials,"7,017,250",0,,,
AUZ,Australian Mines Limited,Materials,"86,118,600",4,,,
AV1,Adveritas Limited,,"23,572,200",1,,,
AVA,AVA Risk Group Limited,Information Technology,"26,923,300",1,,,
AVC,Auctus Alt INV Limited,Financials,"7,500,110",0,,,
AVE,Avecho Biotech Limited,Health Care,"9,464,740",0,,,
AVG,Aust Vintage Limited,Consumer Staples,"140,354,000",6,,,
AVH,Avita Medical Limited,Health Care,"1,105,000,000",49,,,
AVJ,Avjennings Limited,Real Estate,"231,552,000",0.01,,,
AVL,Aust Vanadium Limited,Materials,"28,020,500",1,,,
AVN,Aventus Group,Real Estate,"1,449,910,000",64,,,
AVQ,Axiom Mining Limited,Materials,"13,480,000",1,,,
AVW,Avira Resources Limited,Materials,"2,000,000",0,,,
AVZ,AVZ Minerals Limited,Materials,"105,991,000",5,,,
AWC,Alumina Limited,Materials,"6,825,230,000",0.3,,,
AWN,Arowana Internat Limited,Industrials,"26,889,000",1,,,
AWV,Anova Metals Limited,Materials,"6,391,320",0,,,
AWY,Aust Whisky Holdings,Consumer Staples,"52,178,500",2,,,
AX1,Accent Group Limited,Consumer Discretionary,"922,816,000",41,,,
AX8,Accelerate Resources,Materials,"1,517,780",0,,,
AXE,Archer Exploration,Materials,"30,549,200",1,,,
AXI,Axiom Properties,Real Estate,"16,443,100",1,,,
AXL,Axsesstoday Limited,Financials,"105,949,000",5,,,
AXT,Argo Exploration,Materials,"2,195,640",0,,,
AYF,Australian Enhanced Units FP,,"19,996,700",1,,,
AYI,A1 Invest & Res Limited,Financials,"24,015,600",1,,,
AYK,Amyf Four Limited,,"20,913,800",1,,,
AYM,Australia United Min,Materials,"1,842,580",0,,,
AYR,Alloy Resources,Materials,"3,386,560",0,,,
AYS,Amaysim Aus Limited,Telecommunication Services,"88,533,100",4,,,
AYZ,Amyf Five Limited,,"46,032,700",2,,,
AZI,Alta ZINC Limited,Materials,"9,149,420",0,,,
AZJ,Aurizon Holdings Limited,Industrials,"11,741,800,000",515,,,
AZM,Azumah Resources,Materials,"28,378,900",1,,,
AZS,AZURE Minerals,Materials,"31,865,500",1,,,
AZT,AZURE Health Tech,Information Technology,13.03,0,,,
AZV,AZURE Healthcare Limited,Health Care,"18,849,700",1,,,
AZY,Antipa Minerals Limited,Materials,"33,221,300",1,,,
B2Y,Bounty Mining,Materials,"26,325,400",1,,,
BAF,Blue Sky Alt Access,,"156,660,000",7,,,
BAL,Bellamy's Australia,Consumer Staples,"1,476,060,000",65,,,
BAP,Bapcor Limited,Consumer Discretionary,"2,094,180,000",92,,,
BAR,Barra Resources,Materials,"11,855,600",1,,,
BAS,Bass Oil Limited,Energy,"8,766,420",0,,,
BAT,Battery Minerals Limited,Materials,"10,544,700",0,,,
BAU,Bauxite Resource Limited,Materials,"8,148,050",0,,,
BBC,BNK Bank Corp Limited,Financials,"54,394,200",2,,,
BBL,Brisbane Broncos,Consumer Discretionary,"45,098,700",2,,,
BBN,Baby Bunting Group Limited,Consumer Discretionary,"448,866,000",0.02,,,
BBOZ,Beta Aust STR Bear Trading Managed Fund Units FP,,"150,612,000",7,,,
BBR,Bora Bora Resources,Materials,"2,446,690",0,,,
BBUS,Beta US Strong Bear Trading Managed Fund Units FP,,"102,674,000",5,,,
BBX,BBX Minerals Limited,Materials,"78,085,600",3,,,
BC8,Black Cat Syndicate,Materials,"26,703,900",1,,,
BCB,Bowen Coal Limited,Materials,"44,297,200",2,,,
BCC,Beam Communications,Information Technology,"10,574,700",0,,,
BCI,BCI Minerals Limited,Materials,"73,801,800",3,,,
BCK,Brockman Mining Limited,Materials,"267,416,000",12,,,
BCL,Bunji Corp Limited,Energy,"1,356,180",0,,,
BCN,Beacon Minerals,Materials,"137,205,000",6,,,
BCT,Bluechiip Limited,Information Technology,"89,617,600",4,,,
BD1,BARD1 Life Sciences,Health Care,"58,789,000",3,,,
BDA,Bod Australia,Consumer Discretionary,"40,074,700",2,,,
BDC,Bardoc Gold Limited,Materials,"122,630,000",5,,,
BDG,Black Dragon Gold,Materials,"1,859,480",0,,,
BDI,Blina Minerals NL,Materials,"5,454,880",0,,,
BEAR,Betashares Aust BEAR ETF Units FP,,"55,369,600",2,,,
BEE,Broo Limited,Consumer Staples,"14,679,700",1,,,
BEL,Bentley Capital Limited,,"4,187,040",0,,,
BEM,Blackearth Minerals,Materials,"4,260,330",0,,,
BEN,Bendigo and Adelaide,Financials,"5,635,980,000",247,,,
BET,Betmakers Tech Group,Consumer Discretionary,"38,868,100",2,,,
BFC,Beston Global Limited,Consumer Staples,"53,197,900",2,,,
BFG,Bell Financial Group,Financials,"296,688,000",13,,,
BGA,Bega Cheese Limited,Consumer Staples,"968,215,000",43,,,
BGL,Bellevue Gold Limited,Materials,"344,647,000",15,,,
BGP,Briscoe Group Foreign Exempt NZX,Consumer Discretionary,"759,666,000",33,,,
BGT,Bio-Gene Technology,Materials,"19,802,300",1,,,
BHD,Benjamin Horngld Limited,,"17,150,200",1,,,
BHL,Boyuan Holdings,Real Estate,"61,763,400",3,,,
BHP,BHP Group Limited,Materials,"108,172,000,000",4749,,,
BID,Bidenergy Limited,Information Technology,"75,580,900",3,,,
BILL,Ishares Core Cash ETF Units FP,,"546,906,000",24,,,
BIN,Bingo Industries Limited,Industrials,"1,446,370,000",63,,,
BIQ,Buildingiq Inc Cdi 1:1,Information Technology,"4,321,230",0,,,
BIR,BIR Financial Limited,Financials,"6,546,090",0,,,
BIS,Bisalloy Steel,Materials,"46,094,500",2,,,
BIT,Biotron Limited,Health Care,"43,491,500",2,,,
BKI,BKI Investment Limited,,"1,180,830,000",52,,,
BKL,Blackmores Limited,Consumer Staples,"1,489,910,000",65,,,
