Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
ASX:SDV,"SciDev Limited (ASX:SDV)",https://www.listcorp.com/asx/sdv/scidev-limited,"	64630100",0.325,-0.01,-4.41,Materials
ASX:KPO,"Kalina Power Limited (ASX:KPO)",https://www.listcorp.com/asx/kpo/kalina-power-limited,"	64525900",0.022,0.00,0,Utilities
ASX:AAL,"Alfabs Australia Limited (ASX:AAL)",https://www.listcorp.com/asx/aal/alfabs-australia-limited,"	64513600",0.48,-0.00,-1.03,Industrials
ASX:BCA,"Black Canyon Limited (ASX:BCA)",https://www.listcorp.com/asx/bca/black-canyon-limited,"	64374600",0.395,-0.01,-2.47,Materials
ASX:CGHE,"Claremont Global Fund (hedged) (Managed Fund) (ASX:CGHE)",https://www.listcorp.com/asx/cghe/claremont-global-fund-hedged-managed-fund,"	64218700",1.715,0.00,0,Unclassified
ASX:AOF,"Australian Unity Office Fund (ASX:AOF)",https://www.listcorp.com/asx/aof/australian-unity-office-fund,"	64109500",0.39,0.00,0,"Real Estate"
ASX:EMP,"Emperor Energy Limited (ASX:EMP)",https://www.listcorp.com/asx/emp/emperor-energy-limited,"	63943500",0.072,-0.00,-6.49,Energy
ASX:ADN,"Andromeda Metals Limited (ASX:ADN)",https://www.listcorp.com/asx/adn/andromeda-metals-limited,"	63833500",0.013,-0.00,-7.14,Materials
ASX:LBL,"Laserbond Limited (ASX:LBL)",https://www.listcorp.com/asx/lbl/laserbond-limited,"	62585200",0.535,0.00,0.94,Industrials
ASX:SMN,"Structural Monitoring Systems Plc (ASX:SMN)",https://www.listcorp.com/asx/smn/structural-monitoring-systems,"	62534000",0.43,0.02,6.17,"Information Technology"
ASX:DEV,"DevEx Resources Limited (ASX:DEV)",https://www.listcorp.com/asx/dev/devex-resources-limited,"	61836700",0.12,-0.02,-14.29,Materials
ASX:PFG,"Prime Financial Group Limited (ASX:PFG)",https://www.listcorp.com/asx/pfg/prime-financial-group-limited,"	61781700",0.235,0.00,0,Financials
ASX:CYP,"Cynata Therapeutics Limited (ASX:CYP)",https://www.listcorp.com/asx/cyp/cynata-therapeutics,"	61738100",0.235,-0.03,-9.62,"Health Care"
