BBC,20191119,0.6,0.6,0.6,0.6,7000
BBN,20191119,3.72,3.82,3.65,3.73,230084
BBX,20191119,0.18,0.18,0.18,0.18,10000
BC8,20191119,0.405,0.405,0.395,0.395,3822
BCB,20191119,0.058,0.06,0.056,0.06,699799
BCC,20191119,0.28,0.3,0.28,0.28,137203
BCI,20191119,0.175,0.175,0.17,0.17,267371
BCK,20191119,0.025,0.026,0.025,0.025,103902
BCN,20191119,0.032,0.034,0.032,0.033,3327612
BCT,20191119,0.165,0.18,0.16,0.18,1097151
BD1,20191119,0.032,0.038,0.032,0.036,12738460
BDA,20191119,0.34,0.34,0.33,0.34,161468
BDC,20191119,0.093,0.097,0.093,0.096,6060056
BDG,20191119,0.078,0.078,0.07,0.07,32000
BEE,20191119,0.02,0.02,0.02,0.02,28623
BEM,20191119,0.05,0.05,0.05,0.05,142477
BEN,20191119,10.63,10.72,10.58,10.72,809802
BET,20191119,0.13,0.16,0.13,0.16,2481804
BFC,20191119,0.09,0.09,0.081,0.081,186781
BFG,20191119,0.99,0.995,0.99,0.99,50094
BGA,20191119,3.9,3.95,3.9,3.95,475307
BGL,20191119,0.49,0.5,0.455,0.46,3339108
BGT,20191119,0.145,0.16,0.145,0.16,402503
BHL,20191119,0.16,0.16,0.16,0.16,5000
BHP,20191119,37.3,37.56,37.21,37.47,5793181
BID,20191119,0.55,0.59,0.55,0.59,172483
BIN,20191119,2.99,3.01,2.96,3.01,2573776
BIQ,20191119,0.017,0.017,0.017,0.017,25000
BIS,20191119,1.05,1.07,1.05,1.05,25058
BIT,20191119,0.067,0.067,0.064,0.065,1170441
BKI,20191119,1.63,1.635,1.625,1.63,324688
BKL,20191119,83.49,83.7,81.75,82.09,39283
BKT,20191119,0.048,0.049,0.046,0.048,967411
BKW,20191119,18.38,18.59,18.3,18.51,140221
BKY,20191119,0.25,0.25,0.24,0.245,6214
BLD,20191119,4.96,5.04,4.93,5.03,2674326
BLG,20191119,0.12,0.12,0.12,0.12,14852
BLK,20191119,0.013,0.014,0.012,0.013,38640547
BLT,20191119,0.051,0.052,0.049,0.052,1444244
BLU,20191119,0.05,0.052,0.05,0.051,1092323
BLX,20191119,1.25,1.25,1.22,1.22,21472
BLY,20191119,1.95,2.1,1.95,2.05,220960
BLZ,20191119,0.02,0.02,0.02,0.02,184102
BMG,20191119,0.003,0.003,0.003,0.003,300000
BMN,20191119,0.039,0.041,0.039,0.04,513682
BNL,20191119,0.006,0.006,0.006,0.006,3880674
BNO,20191119,0.1,0.1,0.1,0.1,220491
BOA,20191119,0.24,0.265,0.225,0.265,41903
BOC,20191119,0.125,0.125,0.12,0.125,77713
BOE,20191119,0.055,0.057,0.053,0.054,1283308
BOL,20191119,0.14,0.14,0.14,0.14,2786796
BOQ,20191119,8.55,8.63,8.54,8.63,1547841
BOT,20191119,0.115,0.115,0.11,0.11,1137037
BPT,20191119,2.36,2.37,2.315,2.37,4109540
BRB,20191119,0.315,0.32,0.31,0.32,144747
BRG,20191119,17.5,17.5,17.08,17.33,221727
BRK,20191119,0.009,0.009,0.009,0.009,284888
BRL,20191119,0.11,0.115,0.105,0.115,1159501
BRN,20191119,0.053,0.055,0.051,0.051,3644906
BRU,20191119,0.21,0.21,0.205,0.205,1025496
BRV,20191119,0.018,0.018,0.018,0.018,2117445
BSA,20191119,0.395,0.395,0.382,0.385,100112
BSE,20191119,0.22,0.22,0.22,0.22,20004800
BSL,20191119,14.05,14.2,13.975,14.08,2336617
BSM,20191119,0.008,0.008,0.007,0.008,300005
BSR,20191119,0.014,0.014,0.014,0.014,1958901
BST,20191119,1.03,1.03,1.025,1.025,20208
BSX,20191119,0.12,0.135,0.12,0.12,1238711
BTH,20191119,0.685,0.695,0.64,0.64,1184289
BTI,20191119,1.02,1.03,1.02,1.03,48104
BUB,20191119,1.1,1.115,1.085,1.105,1208456
BUD,20191119,0.022,0.024,0.022,0.023,2024792
BUG,20191119,0.23,0.23,0.23,0.23,487
BUX,20191119,0.071,0.071,0.071,0.071,150000
BVS,20191119,4.15,4.15,4,4.03,1518189
BWF,20191119,0.825,0.825,0.825,0.825,1400
BWP,20191119,4.18,4.25,4.17,4.24,727267
BWR,20191119,1.345,1.36,1.33,1.34,232445
BWX,20191119,4.42,4.54,4.33,4.48,413383
BXB,20191119,12.3,12.43,12.27,12.43,2793673
BXN,20191119,0.018,0.019,0.016,0.016,488606
BYE,20191119,0.3,0.3,0.29,0.29,1126986
BYH,20191119,0.044,0.044,0.041,0.042,201937
BYI,20191119,0.955,0.955,0.95,0.95,3571
C6C,20191119,0.66,0.66,0.645,0.645,40671
CAA,20191119,0.115,0.115,0.115,0.115,484646
CAD,20191119,0.001,0.001,0.001,0.001,966887
CAF,20191119,0.135,0.135,0.13,0.13,204861
CAG,20191119,0.8,0.815,0.78,0.78,119750
CAI,20191119,0.023,0.023,0.022,0.023,3846929
CAJ,20191119,0.245,0.245,0.24,0.245,755848
CAM,20191119,0.92,0.92,0.915,0.915,16854
CAN,20191119,0.86,0.865,0.805,0.825,1248517
CAP,20191119,0.038,0.038,0.034,0.035,929476
CAR,20191119,15.76,16.24,15.68,16.2,910621
CAT,20191119,1.78,1.83,1.74,1.83,1046817
CAU,20191119,0.29,0.29,0.25,0.26,1816414
CAY,20191119,0.21,0.215,0.2,0.21,530605
CAZ,20191119,0.047,0.047,0.046,0.047,4665896
CBA,20191119,80.1,80.67,79.85,80.67,2557115
CBY,20191119,0.23,0.23,0.23,0.23,5000
CCA,20191119,0.21,0.225,0.21,0.22,272458
CCE,20191119,0.001,0.001,0.001,0.001,219947
CCL,20191119,11.45,11.57,11.41,11.48,2532508
CCP,20191119,32.39,33.19,32.39,33.19,147129
CCV,20191119,0.235,0.235,0.23,0.23,88089
CCX,20191119,2.76,2.83,2.74,2.83,367947
CCZ,20191119,0.02,0.02,0.019,0.02,2292859
CD3,20191119,1.425,1.425,1.41,1.41,23109
CDA,20191119,6.42,6.65,6.31,6.56,557202
CDD,20191119,0.475,0.475,0.45,0.45,576127
CDM,20191119,0.755,0.76,0.745,0.75,390077
CDP,20191119,6,6.04,5.95,6.03,35103
CDT,20191119,0.009,0.009,0.009,0.009,150000
CDV,20191119,0.315,0.335,0.315,0.335,292865
CDX,20191119,0.03,0.03,0.027,0.028,3674668
CDY,20191119,0.23,0.235,0.23,0.23,38500
CE1,20191119,0.009,0.009,0.009,0.009,1317505
CEL,20191119,0.074,0.075,0.07,0.07,782275
CEN,20191119,6.36,6.45,6.36,6.42,9304
CFE,20191119,0.004,0.004,0.004,0.004,1000000
CG1,20191119,0.385,0.39,0.385,0.39,5000
CGB,20191119,0.017,0.018,0.017,0.018,2574038
CGC,20191119,2.72,2.76,2.7,2.74,1599194
CGF,20191119,8.05,8.34,8.05,8.34,6386301
CGL,20191119,3.8,3.915,3.755,3.88,131270
